User,Chart,mode ,timespent,dataset
11,bar,see data,23,music
12,histogram,predict,123,admission
12,histogram,see data,59,admission
12,histogram,see data,21,admission
12,histogram,predict,52,admission
12,histogram,see data,7,admission
12,histogram,predict,52,admission
12,histogram,see data,23,admission
12,histogram,predict,27,admission
12,histogram,see data,31,admission
12,scatter,predict,19,admission
12,scatter,see data,34,admission
12,scatter,predict,12,admission
12,scatter,see data,12,admission
12,scatter,predict,17,admission
12,scatter,see data,12,admission
12,scatter,see data,237,admission
12,scatter,see data,25,admission
12,parallel,predict,22,admission
12,parallel,see data,103,admission
12,parallel,predict,98,admission
12,parallel,see data,81,admission
12,bar,predict,14,music
12,bar,see data,10,music
12,bar,see data,21,music
12,line,predict,79,music
12,line,see data,33,music
12,histogram,see data,13,music
12,histogram,predict,19,music
12,histogram,see data,19,music
12,histogram,see data,24,music
12,histogram,see data,7,music
12,histogram,see data,5,music
12,histogram,see data,2,music
12,histogram,see data,21,music
12,histogram,see data,10,music
12,histogram,see data,14,music
12,histogram,see data,4,music
12,bar,predict,25,music
12,bar,see data,8,music
12,bar,predict,26,music
12,bar,see data,8,music
12,line,predict,22,music
12,line,see data,30,music
12,scatter,predict,61,music
12,scatter,see data,15,music
12,scatter,predict,46,music
12,scatter,see data,31,music
12,scatter,predict,10,music
12,scatter,see data,10,music
12,scatter,predict,19,music
12,scatter,see data,28,music
12,scatter,predict,13,music
12,scatter,see data,5,music
12,scatter,predict,27,music
12,scatter,see data,6,music
12,histogram,see data,2,music
12,scatter,predict,66,music
12,scatter,see data,25,music
12,parallel,predict,99,music
12,parallel,see data,18,music
12,bar,see data,3,music
13,histogram,predict,39,admission
13,histogram,see data,48,admission
13,histogram,predict,85,admission
13,histogram,see data,89,admission
13,histogram,predict,4,admission
13,histogram,see data,51,admission
13,histogram,predict,32,admission
13,histogram,see data,55,admission
13,histogram,predict,35,admission
13,histogram,see data,77,admission
13,scatter,predict,2,admission
13,scatter,see data,29,admission
13,scatter,predict,35,admission
13,scatter,see data,222,admission
13,scatter,predict,40,admission
13,scatter,see data,43,admission
13,histogram,predict,14,admission
13,histogram,see data,50,admission
13,bar,predict,40,admission
13,bar,see data,28,admission
13,bar,predict,29,music
13,bar,see data,73,music
13,line,predict,39,music
13,line,see data,49,music
13,histogram,predict,67,music
13,histogram,see data,255,music
13,bar,predict,36,music
13,bar,see data,201,music
13,histogram,predict,116,music
13,histogram,see data,431,music
13,histogram,predict,86,music
13,histogram,see data,6,music
13,bar,predict,102,music
13,bar,see data,81,music
13,parallel,predict,71,music
13,parallel,see data,100,music
13,parallel,predict,44,music
13,parallel,see data,62,music
14,scatter,predict,64,admission
14,scatter,see data,56,admission
14,scatter,predict,22,admission
14,scatter,see data,73,admission
14,scatter,predict,24,admission
14,scatter,see data,80,admission
14,scatter,predict,164,admission
14,scatter,see data,47,admission
14,bar,see data,6,admission
14,scatter,predict,65,admission
14,scatter,see data,110,admission
14,scatter,predict,50,music
14,scatter,see data,70,music
14,bar,predict,30,music
14,bar,see data,87,music
14,bar,predict,41,music
14,bar,see data,104,music
14,scatter,predict,15,music
14,scatter,see data,46,music
14,bar,predict,26,music
14,bar,see data,51,music
